10,10,0.0001,succeeded
10,100,0.0004,succeeded
10,1000,0.0035,succeeded
10,10000,0.0281,succeeded
10,100000,0.2517,succeeded
100,10,0.0003,succeeded
100,100,0.0026,succeeded
100,1000,0.0285,succeeded
100,10000,0.2744,succeeded
100,100000,2.6628,succeeded
1000,10,0.0031,succeeded
1000,100,0.0340,succeeded
1000,1000,0.3189,succeeded
1000,10000,3.2688,succeeded
1000,100000,34.8846,succeeded
10000,10,0.0668,succeeded
10000,100,0.4835,succeeded
10000,1000,4.8035,succeeded
10000,10000,49.3352,succeeded
10000,100000,180.0000,timeout
100000,10,0.7976,succeeded
100000,100,5.4490,succeeded
100000,1000,54.9367,succeeded
100000,10000,180.0001,timeout
